VENTA;PROYECTO;MONEDA;ESTADO ACTUAL;ESTADO CALCULADO;SALDO COMERCIAL;SALDO CONTABLE;OBS. DIF. SALDOS;DIF. SALDOS
7222;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;52589.02;52589.02;OK;0
7223;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;73215.55;73215.55;OK;0
7224;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;41730;41730;OK;0
7225;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;48178.46;48178.46;OK;0
7226;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;60148.75;60148.75;OK;0
7238;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;49724.2;49724.2;OK;0
7249;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;53106.51;53106.51;OK;0
7250;CIUDAD DE DIOS NORTE;BS;Fusionado;Pendiente;54055.01;54055.01;OK;0
7322;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;46620;46620;OK;0
7323;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;85066.66;85066.66;OK;0
7325;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;48806.37;48806.37;OK;0
7326;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;48253.15;48253.15;OK;0
7342;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;54055.01;54055.01;OK;0
7343;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;54055.01;54055.01;OK;0
7344;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;54055.01;54055.01;OK;0
7345;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;54054.84;54054.84;OK;0
7355;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;102525;102525;OK;0
7394;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;19050;19050;OK;0
7426;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;55003.34;55003.34;OK;0
7427;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;55165;55165;OK;0
7428;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;55165;55165;OK;0
7429;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;55165;55165;OK;0
7430;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;86000;86000;OK;0
7431;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;55165;55165;OK;0
7451;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;56100;56100;OK;0
7452;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;54181.67;54181.67;OK;0
7453;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;59515.35;59515.35;OK;0
7525;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;66194.85;66194.85;OK;0
7528;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;55165;55165;OK;0
7529;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;73500;73500;OK;0
7566;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;49475.81;49475.81;OK;0
7575;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;49365.67;49365.67;OK;0
7576;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;49382.91;49382.91;OK;0
7578;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;21443.5;21443.5;OK;0
7579;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;21451.42;21451.42;OK;0
