VENTA;PROYECTO;MONEDA;ESTADO ACTUAL;ESTADO CALCULADO;SALDO COMERCIAL;SALDO CONTABLE;OBS. DIF. SALDOS;DIF. SALDOS
1959;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1960;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;1035.3;1036.42;ERROR;1
1961;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;978.72;978.74;OK;
1962;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1963;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;38.19;ERROR;1
1964;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;2442.72;2442.25;OK;
1965;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1966;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0.03;OK;
2003;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0.01;0.01;OK;
2004;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
2005;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;2612.87;2612.87;OK;
2006;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;2693.62;2694.79;ERROR;1
2007;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;373.55;ERROR;1
2097;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0.38;OK;
2098;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;1233.35;1233.33;OK;
2099;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;2830.73;4014.43;ERROR;1
2100;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;62.56;62.56;OK;
2101;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
2102;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;1035.04;1110.66;ERROR;1
2103;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
2104;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;3143.53;3143.52;OK;
2105;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;4512.64;4512.64;OK;
2106;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
2107;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
2108;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
2211;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
2221;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;3738.15;3738.12;OK;
2287;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;3626.18;3626.31;OK;
2288;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;3076.33;3077.49;ERROR;1
2289;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;1152.43;1152.43;OK;
2290;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;4589.05;4589.05;OK;
